x,N2249,x,N2249,x,N2249,x,N2249,x,N2249,x,N2249
1.12087,0.0998668,1.18141,0.130042,1.15313,0.114105,1.33631,0.606715,1.33351,0.607445,1.36695,0.597113
1.13044,0.103415,1.1913,0.136588,1.16291,0.119336,1.34631,0.603553,1.34351,0.604283,1.37691,0.594114
1.1401,0.107407,1.2012,0.143559,1.17274,0.125221,1.3563,0.600712,1.35351,0.601482,1.38688,0.590589
1.14982,0.111966,1.21066,0.150872,1.1826,0.131561,1.3663,0.59766,1.3635,0.598433,1.39685,0.586568
1.1596,0.116999,1.21974,0.157208,1.19248,0.138194,1.3763,0.594625,1.3735,0.595415,1.40683,0.581934
1.16943,0.122624,1.22847,0.16223,1.2024,0.14522,1.3863,0.591177,1.3835,0.592143,1.41681,0.578095
1.17929,0.128884,1.23686,0.166445,1.21232,0.152346,1.3963,0.58717,1.3935,0.588298,1.4268,0.574864
1.18918,0.135359,1.24558,0.169556,1.22182,0.158755,1.4063,0.58256,1.4035,0.58382,1.43678,0.571959
1.19908,0.142388,1.25413,0.172455,1.23142,0.163486,1.4163,0.578699,1.4135,0.579783,1.44678,0.569018
1.20875,0.149559,1.26185,0.175007,1.24062,0.167369,1.4263,0.575384,1.4235,0.576313,1.45677,0.565967
1.21849,0.156093,1.26933,0.177359,1.24982,0.170572,1.4363,0.572246,1.4335,0.57309,1.46676,0.562799
1.22661,0.161492,1.27695,0.179498,1.25779,0.173368,1.4463,0.569098,1.4435,0.569824,1.47676,0.560011
1.23483,0.165561,1.28485,0.18181,1.2655,0.175923,1.4563,0.565739,1.4535,0.566423,1.48675,0.557555
1.24278,0.169352,1.29316,0.18471,1.27308,0.178223,1.4663,0.562663,1.4635,0.563287,1.49675,0.555443
1.25083,0.171728,1.30167,0.188443,1.28095,0.180508,1.4763,0.559962,1.4735,0.560536,1.50675,0.554171
1.25842,0.174311,1.30987,0.191708,1.28882,0.183101,1.4863,0.557585,1.4835,0.558118,1.51675,0.553061
1.26577,0.176644,1.31829,0.194656,1.29694,0.186818,1.4963,0.555523,1.4935,0.555989,1.52675,0.552191
1.27292,0.17878,1.32591,0.197947,1.30479,0.190156,1.5063,0.554323,1.5035,0.554606,1.53674,0.551541
1.28023,0.180821,1.334,0.199735,1.31264,0.193278,1.5163,0.55326,1.5135,0.553537,1.54674,0.550931
1.28768,0.183085,1.34232,0.201951,1.32024,0.196041,1.5263,0.552433,1.5235,0.552672,1.55674,0.550638
1.29492,0.18615,1.35097,0.20412,1.32761,0.199049,1.5363,0.551817,1.5335,0.552021,1.56674,0.550432
1.30248,0.18968,1.35989,0.206034,1.3355,0.200851,1.5463,0.55124,1.5435,0.551568,1.57674,0.550508
1.30982,0.192704,1.36902,0.207796,1.34363,0.202956,1.5563,0.550978,1.5535,0.551187,1.58674,0.550789
1.31716,0.196066,1.37833,0.209452,1.35213,0.205027,1.5663,0.550794,1.5635,0.551051,1.59674,0.550565
1.32504,0.198,1.38778,0.211002,1.36093,0.206839,1.5763,0.550887,1.5735,0.55115,1.60674,0.552007
