x,healthy,x,earlyOA,x,advOA
3.50363,6.16923,3.49794,6.17937,3.4882,5.70488
3.5136,6.15557,3.50788,6.16619,3.49815,5.68868
3.52357,6.1418,3.51784,6.15277,3.50811,5.67322
3.53355,6.12711,3.5278,6.13858,3.51808,5.65792
3.54353,6.11057,3.53777,6.12347,3.52805,5.64078
3.55351,6.08733,3.54774,6.10528,3.53803,5.62243
3.5635,6.06037,3.55772,6.08026,3.54801,5.60391
3.57349,6.03151,3.56771,6.05225,3.558,5.58601
3.58348,6.00102,3.57769,6.0225,3.56799,5.56836
3.59347,5.96847,3.58768,5.99234,3.57798,5.5488
3.60347,5.93291,3.59768,5.95712,3.58797,5.52392
3.61346,5.89776,3.60767,5.92149,3.59796,5.49146
3.62346,5.86339,3.61766,5.8877,3.60796,5.4498
3.63346,5.8212,3.62766,5.85048,3.61795,5.40964
3.64345,5.77063,3.63765,5.80442,3.62795,5.36596
3.65345,5.71155,3.64765,5.74999,3.63795,5.30787
3.66345,5.70853,3.65764,5.71307,3.64794,5.23268
3.67345,5.746,3.66764,5.72947,3.65794,5.22403
3.68344,5.77941,3.67764,5.76537,3.66794,5.24519
3.69321,5.80966,3.68763,5.79646,3.67794,5.26641
3.70299,5.83669,3.69763,5.82577,3.68794,5.28609
3.71276,5.85993,3.70763,5.85105,3.69793,5.30363
3.72255,5.88164,3.71762,5.87321,3.70793,5.31921
3.73234,5.89999,3.72762,5.89367,3.71793,5.33276
3.74213,5.91723,3.73762,5.91139,3.72793,5.3451
3.75192,5.93239,3.74761,5.92746,3.73793,5.35546
3.76173,5.94568,3.75761,5.94131,3.74749,5.36534
