x,healthy,x,earlyOA
4.29625,16.0613,4.30165,15.8729
4.30125,16.1003,4.30781,15.9139
4.30626,16.1395,4.31387,15.9554
4.31126,16.1754,4.31984,15.9974
4.31627,16.1926,4.32572,16.0398
4.32127,16.1889,4.33153,16.0826
4.32628,16.1742,4.33726,16.1252
4.33128,16.1656,4.34293,16.1577
4.33628,16.1583,4.34855,16.1743
4.34129,16.1481,4.35416,16.1676
4.34629,16.1358,4.35972,16.1619
4.35129,16.1247,4.36523,16.1488
4.3563,16.1167,4.37074,16.133
4.3613,16.1053,4.3762,16.116
4.3663,16.0978,4.38165,16.0998
4.3713,16.0878,4.38705,16.0872
4.37658,16.0822,4.39246,16.0799
4.38182,16.0732,4.39783,16.0688
4.38705,16.0641,4.40317,16.0607
4.39227,16.0584,4.40848,16.0543
4.39748,16.0547,4.41377,16.0453
4.40268,16.0485,4.41932,16.0348
4.40787,16.0404,4.42511,16.0254
4.41305,16.0318,4.43083,16.0213
4.41822,16.0247,4.43649,16.0189
4.42338,16.0219,4.44209,16.0131
4.42852,16.0165,4.44766,16.0042
4.43365,16.008,4.45323,15.9946
4.43877,15.9989,4.45881,15.9897
4.44415,15.9926,4.46438,15.9817
4.44952,15.9907,4.46995,15.9721
4.45485,15.9841,4.47576,15.9636
4.46016,15.9756,4.48151,15.9562
4.46572,15.9674,4.48718,15.9507
4.47127,15.9615,4.49286,15.944
4.47678,15.9555,4.49848,15.9362
4.48225,15.9532,4.5041,15.9296
4.48767,15.952,4.50966,15.9243
4.49306,15.9473,4.51517,15.9172
4.49899,15.9403,4.52066,15.9134
4.50515,15.9321,4.52611,15.9096
4.5113,15.9266,4.53152,15.9018
4.51735,15.9183,4.53718,15.8944
4.5234,15.9083,4.54278,15.8842
4.52967,15.9012,4.54838,15.8768
4.53582,15.9009,4.55393,15.8716
4.5418,15.8952,4.55943,15.8638
4.54777,15.8868,4.56484,15.8568
4.55423,15.8762,4.57049,15.8535
4.56087,15.869,4.57612,15.8499
4.56737,15.8645,4.58169,15.8453
4.57374,15.858,4.58726,15.8436
4.58011,15.852,4.59278,15.8391
4.58648,15.8482,4.59828,15.8324
4.59273,15.8421,4.60402,15.8269
4.59892,15.8371,4.60976,15.8238
