x,N2249,N2571,N3057,x,N2249,N2571,N3057,x,N2249,N2571,N3057
0.86163,-0.057014,-0.0923763,-0.122134,0.903128,-0.0591465,-0.0964888,-0.127326,0.87911,-0.0599619,-0.093537,-0.12481
0.86663,-0.0573602,-0.0928437,-0.122779,0.908128,-0.0594865,-0.0969505,-0.127959,0.88411,-0.0603199,-0.0940038,-0.125457
0.87163,-0.0577065,-0.0933109,-0.123424,0.913128,-0.0598264,-0.0974113,-0.128593,0.88911,-0.0606776,-0.0944694,-0.126102
0.87663,-0.0580528,-0.0937777,-0.124069,0.913962,-0.0599463,-0.097683,-0.128997,0.89411,-0.0610351,-0.0949343,-0.126746
0.88163,-0.0583986,-0.0942431,-0.124712,0.918962,-0.0602567,-0.0980236,-0.129382,0.89911,-0.0613928,-0.0953996,-0.127392
0.88663,-0.0587446,-0.0947086,-0.125354,0.923962,-0.0605843,-0.0984486,-0.129959,0.90411,-0.0617502,-0.0958637,-0.128034
0.89163,-0.0590904,-0.0951732,-0.125996,0.924795,-0.0607028,-0.0987155,-0.130384,0.90911,-0.0621075,-0.0963273,-1.29E-01
0.89663,-0.0594362,-0.0956377,-0.12664,0.929795,-0.0610101,-0.099051,-0.130772,0.91411,-0.0624646,-0.0967901,-0.129317
0.90163,-0.0597819,-0.0961014,-0.127282,0.931462,-0.0611669,-0.0993329,-0.131206,0.91911,-0.0628215,-0.0972523,-0.129957
0.90663,-0.0601272,-0.0965638,-0.12792,0.936462,-0.0614727,-0.0996737,-0.13162,0.92411,-0.0631782,-0.0977136,-0.130593
0.91163,-0.0604725,-0.0970258,-0.128559,0.941462,-0.0617906,-0.100074,-0.132178,0.92911,-0.0635348,-0.0981746,-0.131233
0.91663,-0.0608173,-0.0974863,-0.129194,0.946462,-0.062114,-0.100491,-0.132762,0.93411,-0.0638918,-0.0986364,-0.131874
0.92163,-0.0611625,-0.0979473,-0.129831,0.951462,-0.0624391,-0.100913,-0.133348,0.93911,-0.0642481,-0.0990962,-0.132511
0.92663,-0.0615076,-0.098408,-0.130466,0.956462,-0.0627701,-0.101351,-0.133954,0.94411,-0.0646045,-0.0995555,-0.133147
0.93163,-0.0618525,-0.0988678,-0.131101,0.961462,-0.0631013,-0.101788,-0.134563,0.94911,-0.0649609,-0.100015,-0.133785
0.93663,-0.0621967,-0.0993252,-0.131731,0.966462,-0.0634347,-0.102231,-0.135179,0.95411,-0.065317,-0.100473,-0.134418
0.94163,-0.062542,-0.0997863,-0.132353,0.971462,-0.0637685,-0.102674,-0.135793,0.95911,-0.065673,-0.100931,-0.135052
0.94663,-0.0628875,-0.100247,-0.132995,0.976462,-0.0641039,-0.103122,-0.136412,0.96411,-0.0660288,-0.101389,-0.135684
0.95163,-0.0632318,-0.100705,-0.133628,0.981462,-0.0644388,-0.103568,-0.137043,0.96911,-0.0663846,-0.101846,-0.136319
0.95663,-0.0635771,-0.101165,-0.134271,0.986462,-0.0647753,-0.104017,-0.13767,0.97411,-0.0667402,-0.102303,-0.13695
0.96163,-0.0639209,-0.10162,-0.1349,0.991462,-0.0651046,-0.104448,-0.138221,0.97911,-0.0670955,-0.102758,-0.13758
0.96663,-0.0642646,-0.102075,-0.135529,0.996462,-0.0654377,-0.104889,-0.138803,0.98411,-0.0674503,-0.103212,-0.138205
0.97163,-0.0646084,-0.102531,-0.136159,1.00146,-0.0658414,-0.105505,-0.139527,0.98911,-0.0678052,-0.103666,-0.138833
0.97663,-0.0649517,-0.102984,-0.136786,1.00673,-0.0667161,-0.107397,-0.14189,0.99411,-0.0681596,-0.104119,-0.139456
0.98163,-0.0652946,-0.103436,-0.137412,1.01226,-0.0677923,-0.109766,-0.144837,0.99911,-0.0685144,-0.104573,-0.140084
0.98663,-0.0656381,-0.10389,-0.138039,1.01831,-0.0690812,-0.112572,-0.148271,1.00411,-0.069161,-0.105828,-0.141343
0.99163,-0.0659812,-0.104343,-0.138666,1.02483,-0.0704345,-0.115384,-0.151674,1.00938,-0.0701479,-0.107947,-0.143968
0.99663,-0.0663241,-0.104794,-0.139291,1.03176,-0.0717957,-0.118007,-0.154879,1.01521,-0.0713727,-0.110566,-0.147185
1.00163,-0.0667214,-0.105394,-0.139852,1.03869,-0.0732203,-0.120667,-0.158149,1.02153,-0.0728112,-0.113585,-0.150857
1.00663,-0.0675641,-0.107204,-0.142106,1.04563,-0.0747223,-0.123378,-0.161475,1.02765,-0.0740931,-0.116072,-0.153898
