x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.90163,1.63523,0.931462,1.69239,0.91911,1.66656,1.00234,2.58366,1.00305,2.5941,1.02353,2.88754
0.90663,1.64419,0.936462,1.70047,0.92411,1.67551,1.00734,2.65792,1.00805,2.6687,1.03107,2.95417
0.91163,1.65315,0.941462,1.70882,0.92911,1.68446,1.01331,2.74646,1.01332,2.74648,1.0391,3.0244
0.91663,1.66211,0.946462,1.71733,0.93411,1.6934,1.02008,2.84643,1.01951,2.83747,1.04752,3.09743
0.92163,1.67106,0.951462,1.72594,0.93911,1.70235,1.02747,2.92133,1.02647,2.91141,1.05626,3.17267
0.92663,1.68001,0.956462,1.73463,0.94411,1.71129,1.03537,2.99061,1.03403,2.97751,1.06514,3.25134
0.93163,1.68896,0.961462,1.74338,0.94911,1.72023,1.04369,3.06289,1.04208,3.04728,1.07425,3.33362
0.93663,1.69791,0.966462,1.75217,0.95411,1.72917,1.05235,3.13748,1.05052,3.1199,1.08353,3.41877
0.94163,1.70686,0.971462,1.76099,0.95911,1.73811,1.06128,3.21568,1.05928,3.1959,1.09296,3.50686
0.94663,1.71581,0.976462,1.76984,0.96411,1.74704,1.07033,3.2966,1.06818,3.27499,1.10218,3.59549
0.95163,1.72475,0.981462,1.77871,0.96911,1.75598,1.07957,3.38054,1.07729,3.35744,1.11155,3.66294
0.95663,1.73369,0.986462,1.78759,0.97411,1.76491,1.08896,3.46704,1.08658,3.44271,1.12106,3.70103
0.96163,1.74263,0.991462,1.79648,0.97911,1.77384,1.09847,3.55772,1.09602,3.5313,1.13066,3.74132
0.96663,1.75157,0.996462,1.80538,0.98411,1.78276,1.10804,3.65069,1.10552,3.62399,1.14034,3.78253
0.97163,1.7605,1.00146,1.82463,0.98911,1.79169,1.1177,3.68404,1.11512,3.67103,1.15008,3.82466
0.97663,1.76944,1.00673,1.8715,0.99411,1.80061,1.12742,3.7245,1.1248,3.71114,1.15988,3.86786
0.98163,1.77837,1.01226,1.92345,0.99911,1.80954,1.1372,3.76574,1.13454,3.75204,1.16971,3.91424
0.98663,1.7873,1.01831,1.98215,1.00411,1.84739,1.14702,3.80783,1.14433,3.7938,1.17958,3.96347
0.99163,1.79622,1.02483,2.0367,1.00938,1.89588,1.15688,3.85076,1.15417,3.83643,1.18948,4.01506
0.99663,1.80515,1.03176,2.08348,1.01521,1.95155,1.16677,3.89647,1.16404,3.88105,1.1994,4.0688
1.00163,1.82574,1.03869,2.13024,1.02153,2.01356,1.17668,3.94516,1.17393,3.92892,1.20933,4.12218
1.00663,1.87052,1.04563,2.17681,1.02765,2.05679,1.1866,3.99627,1.18385,3.97933,1.21927,4.1772
1.0119,1.92028,1.05292,2.22501,1.03422,2.10147,1.19654,4.04958,1.19378,4.03204,1.22923,4.23416
1.01773,1.97688,1.06053,2.27487,1.0408,2.14606,1.2065,4.10397,1.20372,4.08652,1.2392,4.29319
1.02405,2.03196,1.06861,2.32658,1.04756,2.19124,1.21646,4.15841,1.21368,4.1403,1.24917,4.35352
1.03081,2.07769,1.07706,2.38034,1.0547,2.23829,1.22643,4.21505,1.22365,4.19646,1.25871,4.41108
1.03756,2.12338,1.08583,2.4358,1.06218,2.28699,1.23641,4.27376,1.23362,4.25475,1.26834,4.46825
1.04432,2.16891,1.09484,2.49209,1.07015,2.33773,1.24639,4.33453,1.2436,4.31506,1.27804,4.52447
1.05145,2.21611,1.10405,2.54853,1.07853,2.39088,1.25637,4.39419,1.25358,4.375,1.28781,4.57984
1.05893,2.26508,1.11341,2.58794,1.08723,2.44567,1.26636,4.45329,1.26356,4.43454,1.29762,4.63382
1.0669,2.31615,1.12291,2.61382,1.09619,2.50119,1.27634,4.5114,1.27355,4.49328,1.30747,4.68595
1.07527,2.36927,1.1325,2.63777,1.10536,2.55692,1.28634,4.56832,1.28354,4.5508,1.31735,4.73929
1.08396,2.42429,1.14218,2.65796,1.1147,2.59188,1.29633,4.62396,1.29353,4.6074,1.32723,4.79538
1.09291,2.48033,1.15192,2.67349,1.12417,2.61734,1.30632,4.67718,1.30352,4.66118,1.33714,4.85594
1.10207,2.53658,1.16171,2.68495,1.13374,2.64046,1.31632,4.73144,1.31352,4.71561,1.34706,4.91886
1.1114,2.58209,1.17154,2.69462,1.1434,2.65991,1.32631,4.78768,1.32351,4.77098,1.357,4.98575
1.12087,2.6084,1.18141,2.70218,1.15313,2.6738,1.33631,4.84853,1.33351,4.83106,1.36695,5.05348
1.13044,2.6329,1.1913,2.70386,1.16291,2.68513,1.34631,4.91163,1.34351,4.89334,1.37691,5.12468
1.1401,2.65381,1.2012,2.69842,1.17274,2.69473,1.3563,4.97861,1.35351,4.9596,1.38688,5.19944
1.14982,2.67027,1.21066,2.68169,1.1826,2.70073,1.3663,5.04755,1.3635,5.02821,1.39685,5.27696
1.1596,2.68226,1.21974,2.65589,1.19248,2.70218,1.3763,5.11864,1.3735,5.09786,1.40683,5.35178
1.16943,2.69215,1.22847,2.61656,1.2024,2.69368,1.3863,5.19363,1.3835,5.17218,1.41681,5.4299
1.17929,2.70085,1.23686,2.61875,1.21232,2.6779,1.3963,5.27081,1.3935,5.24866,1.4268,5.51033
1.18918,2.70308,1.24558,2.66968,1.22182,2.6514,1.4063,5.34595,1.4035,5.32458,1.43678,5.59129
1.19908,2.6998,1.25413,2.71529,1.23142,2.61458,1.4163,5.42435,1.4135,5.40234,1.44678,5.67245
1.20875,2.68473,1.26185,2.75725,1.24062,2.63337,1.4263,5.50445,1.4235,5.48214,1.45677,5.75421
1.21849,2.6628,1.26933,2.79615,1.24982,2.68432,1.4363,5.58488,1.4335,5.56232,1.46676,5.83697
1.22661,2.62533,1.27695,2.83354,1.25779,2.72926,1.4463,5.66585,1.4435,5.64304,1.47676,5.92156
1.23483,2.61153,1.28485,2.87422,1.2655,2.77107,1.4563,5.74753,1.4535,5.72456,1.48675,6.00781
1.24278,2.65857,1.29316,2.92436,1.27308,2.81008,1.4663,5.83095,1.4635,5.80779,1.49675,6.097
1.25083,2.70412,1.30167,2.98076,1.28095,2.84965,1.4763,5.91615,1.4735,5.89281,1.50675,6.20241
1.25842,2.74578,1.30987,3.03111,1.28882,2.89414,1.4863,6.00295,1.4835,5.97945,1.51675,6.30805
1.26577,2.78434,1.31829,3.07842,1.29694,2.95056,1.4963,6.0921,1.4935,6.0676,1.52675,6.41576
1.27292,2.82064,1.32591,3.12147,1.30479,3.00239,1.5063,6.1982,1.5035,6.1698,1.53674,6.52526
1.28023,2.85698,1.334,3.16264,1.31264,3.05046,1.5163,6.30417,1.5135,6.276,1.54674,6.63533
1.28768,2.89749,1.34232,3.20187,1.32024,3.09489,1.5263,6.41218,1.5235,6.38363,1.55674,6.74759
1.29492,2.94695,1.35097,3.2397,1.32761,3.13613,1.5363,6.52197,1.5335,6.4931,1.56674,6.8605
1.30248,2.99935,1.35989,3.27632,1.3355,3.17569,1.5463,6.63232,1.5435,6.60416,1.57674,6.97434
1.30982,3.04596,1.36902,3.31184,1.34363,3.21349,1.5563,6.74485,1.5535,6.71598,1.58674,7.08881
1.31716,3.08937,1.37833,3.34636,1.35213,3.25009,1.5663,6.858,1.5635,6.8293,1.59674,7.20389
1.32504,3.13088,1.38778,3.38,1.36093,3.28562,1.5763,6.97208,1.5735,6.94327,1.60674,7.32217
1.33316,3.17038,1.39734,3.41284,1.36997,3.32018,1.5863,7.08676,1.5835,7.05795,1.61674,7.44435
1.34165,3.20846,1.40698,3.44494,1.37921,3.35388,1.5963,7.202,1.5935,7.1725,1.62674,7.56209
1.35043,3.24531,1.4167,3.47637,1.38859,3.38679,1.6063,7.32037,1.6035,7.28962,1.63674,7.6756
1.35946,3.28106,1.42647,3.50717,1.3981,3.419,1.6163,7.44234,1.6135,7.41148,1.64674,7.7884
1.36868,3.31582,1.43629,3.5374,1.40771,3.45055,1.6263,7.56053,1.6235,7.53076,1.65674,7.89873
1.37806,3.3497,1.44614,3.5671,1.41739,3.48149,1.6363,7.67442,1.6335,7.64602,1.66674,8.006
1.38756,3.38277,1.45603,3.59631,1.42714,3.51187,1.6463,7.7875,1.6435,7.75902,1.67674,8.11029
1.39717,3.41512,1.46594,3.62485,1.43694,3.54173,1.6563,7.89818,1.6535,7.87081,1.68674,8.21188
1.40685,3.44679,1.47586,3.65249,1.44678,3.5711,1.6663,8.00578,1.6635,7.97931,1.69674,8.31069
